Invoice_Number_ID,Invoice_Number,Invoice_Status
240,490009,shipped
241,490010,shipped
242,490011,returned
243,490012,shipped
244,490013,shipped
245,490014,shipped
246,490017,shipped
247,490018,shipped
248,490019,shipped
249,490020,shipped
250,490021,returned
251,490022,shipped
252,490023,nan
253,490024,shipped
254,490034,nan
255,490045,shipped
256,490046,shipped
257,490047,shipped
258,490048,shipped
259,490049,shipped
260,490050,shipped
261,490052,shipped
262,490053,canceled
263,490054,shipped
264,490056,shipped
265,490057,canceled
266,490058,shipped
267,490059,shipped
268,490060,shipped
269,490061,shipped
270,490062,shipped
271,490063,shipped
272,490064,shipped
273,490065,shipped
274,490066,shipped
275,490067,nan
276,490068,shipped
277,490069,shipped
278,490070,shipped
279,490071,shipped
280,490072,shipped
281,490073,canceled
282,490075,returned
283,490077,shipped
284,490078,shipped
285,490079,shipped
286,490080,canceled
287,490081,shipped
288,490082,shipped
289,490083,shipped
290,490085,shipped
291,490086,shipped
292,490087,shipped
293,490088,shipped
294,490089,shipped
295,490090,shipped
296,490091,shipped
297,490092,shipped
298,490093,shipped
299,490094,nan
300,490095,shipped
301,490097,shipped
302,490099,canceled
303,490100,shipped
304,490101,shipped
305,490106,shipped
306,490107,shipped
307,490108,shipped
308,490109,shipped
309,490110,shipped
310,490111,shipped
311,490112,returned
312,490113,returned
313,490114,shipped
314,490115,shipped
315,490116,shipped
316,490118,shipped
317,490119,shipped
318,490121,shipped
319,490124,shipped
320,490125,canceled
321,490127,shipped
322,490128,shipped
323,490132,shipped
324,490134,shipped
325,490135,shipped
326,490136,shipped
327,490137,shipped
328,490138,shipped
329,490139,shipped
330,490140,shipped
331,490141,shipped
332,490142,shipped
333,490143,shipped
334,490144,shipped
335,490145,shipped
336,490147,shipped
337,490151,shipped
338,490152,canceled
339,490154,shipped
340,490156,shipped
341,490157,canceled
342,490158,
343,490159,shipped
344,490160,canceled
345,490161,shipped
346,490162,shipped
347,490163,shipped
348,490164,shipped
349,490166,shipped
350,490167,shipped
351,490171,shipped
352,490202,shipped
353,490209,shipped
354,490212,shipped
355,490214,shipped
356,490218,shipped
357,490219,shipped
358,490229,shipped
359,490247,shipped
360,490258,nan
361,490266,shipped
362,490272,shipped
363,490277,returned
364,490279,shipped
365,490281,nan
366,490282,shipped
367,490284,nan
368,490285,shipped
369,490286,shipped
370,490287,shipped
371,490288,shipped
372,490289,shipped
373,490290,shipped
374,490291,shipped
375,490292,shipped
376,490293,shipped
377,490294,canceled
378,490295,shipped
379,490297,shipped
380,490298,shipped
381,490299,shipped
382,490300,shipped
383,490301,nan
384,490302,shipped
385,490303,shipped
386,490304,shipped
387,490305,shipped
388,490308,shipped
389,490310,shipped
390,490311,shipped
391,490312,shipped
392,490313,shipped
393,490320,shipped
394,490323,shipped
395,490324,shipped
396,490326,shipped
397,490327,shipped
398,490331,shipped
399,490340,shipped
400,490341,shipped
401,490342,
402,490346,shipped
403,490347,shipped
404,490349,shipped
405,490353,shipped
406,490355,
407,490356,shipped
408,490359,shipped
409,490360,shipped
410,490362,shipped
411,490363,shipped
412,490364,shipped
413,490365,shipped
414,490366,shipped
415,490367,shipped
416,490368,shipped
417,490369,shipped
418,490370,shipped
419,490371,shipped
420,490372,shipped
421,490373,shipped
422,490374,shipped
423,490375,shipped
424,490376,shipped
425,490377,shipped
426,490378,shipped
427,490380,shipped
428,490381,shipped
429,490382,shipped
430,490383,shipped
431,490385,shipped
432,490386,shipped
433,490387,shipped
434,490388,shipped
435,490389,shipped
436,490390,shipped
437,490391,returned
438,490392,shipped
439,490393,shipped
440,490394,shipped
441,490395,shipped
442,490396,shipped
443,490397,shipped
444,490398,shipped
445,490399,
446,490400,returned
447,490401,shipped
448,490403,returned
449,490404,shipped
450,490405,shipped
451,490408,shipped
452,490430,shipped
453,490458,returned
454,490459,nan
455,490461,shipped
456,490463,shipped
457,490464,returned
458,490465,shipped
459,490466,shipped
460,490467,shipped
461,490468,shipped
462,490470,shipped
463,490471,shipped
464,490472,shipped
465,490473,shipped
466,490474,shipped
467,490476,nan
468,490477,shipped
469,490478,shipped
470,490479,shipped
471,490481,returned
472,490482,shipped
473,490483,shipped
474,490484,shipped
475,490485,returned
476,490486,shipped
477,490487,shipped
478,490488,returned
479,490489,shipped
480,490490,shipped
481,490491,shipped
482,490493,canceled
483,490494,shipped
484,490496,shipped
485,490499,shipped
486,490500,shipped
487,490501,shipped
488,490502,shipped
489,490503,shipped
490,490504,shipped
491,490505,shipped
492,490506,returned
493,490508,shipped
494,490511,shipped
495,490512,shipped
496,490514,returned
497,490515,returned
498,490516,shipped
499,490518,returned
500,490519,shipped
501,490521,shipped
502,490522,shipped
503,490524,shipped
504,490525,shipped
505,490526,shipped
506,490527,shipped
507,490528,shipped
508,490529,shipped
509,490530,shipped
510,490531,shipped
511,490533,shipped
512,490534,shipped
513,490535,shipped
514,490536,shipped
515,490537,shipped
516,490538,shipped
517,490539,shipped
518,490542,shipped
519,490545,shipped
520,490547,nan
521,490548,shipped
522,490557,shipped
523,490561,nan
524,490563,returned
525,490564,shipped
526,490569,shipped
527,490577,shipped
528,490603,shipped
529,490604,shipped
530,490605,shipped
531,490606,nan
532,490607,shipped
533,490608,nan
534,490609,shipped
535,490610,shipped
536,490611,shipped
537,490612,shipped
538,490613,shipped
539,490616,shipped
540,490618,shipped
541,490625,shipped
542,490636,shipped
543,490637,shipped
544,490638,shipped
545,490640,shipped
546,490641,shipped
547,490642,shipped
548,490653,shipped
549,490657,nan
550,490659,shipped
551,490665,shipped
552,490667,shipped
553,490668,shipped
554,490669,shipped
555,490670,shipped
556,490671,shipped
557,490672,shipped
558,490673,shipped
559,490674,shipped
560,490675,shipped
561,490676,shipped
562,490677,shipped
563,490678,shipped
564,490679,shipped
565,490680,shipped
566,490681,shipped
567,490682,shipped
568,490683,returned
569,490684,shipped
570,490685,shipped
571,490686,shipped
572,490687,canceled
573,490689,shipped
574,490690,shipped
575,490691,shipped
576,490692,shipped
577,490693,shipped
578,490694,shipped
579,490695,shipped
580,490697,shipped
581,490703,canceled
582,490704,shipped
583,490705,shipped
584,490706,shipped
585,490707,shipped
586,490708,shipped
587,490709,shipped
588,490710,shipped
589,490711,shipped
590,490712,shipped
591,490714,shipped
592,490717,shipped
593,490718,shipped
594,490719,shipped
595,490720,shipped
596,490722,shipped
597,490724,shipped
598,490725,shipped
599,490726,shipped
600,490727,shipped
601,490728,shipped
602,490733,shipped
603,490734,shipped
604,490737,shipped
605,490738,shipped
606,490747,returned
607,490749,shipped
608,490750,shipped
609,490751,shipped
610,490752,shipped
611,490753,shipped
612,490754,returned
613,490755,shipped
614,490757,shipped
615,490759,shipped
616,490760,nan
617,490761,shipped
618,490762,shipped
619,490763,shipped
620,490764,shipped
621,490767,shipped
622,490769,shipped
623,490770,shipped
624,490782,shipped
625,490785,shipped
626,490786,shipped
627,490789,shipped
628,490796,shipped
629,490797,shipped
630,490800,shipped
631,490801,shipped
632,490802,shipped
633,490803,
634,490804,shipped
635,490805,shipped
636,490806,shipped
637,490808,shipped
638,490809,shipped
639,490810,shipped
640,490811,shipped
641,490817,shipped
642,490823,returned
643,490834,shipped
644,490836,shipped
645,490838,shipped
646,490846,shipped
647,490847,shipped
648,490851,shipped
649,490855,shipped
650,490863,shipped
651,490871,shipped
652,490881,shipped
653,490893,shipped
654,490899,shipped
655,490905,nan
656,490917,shipped
657,490920,shipped
658,490921,shipped
659,490922,shipped
660,490924,shipped
661,490925,shipped
662,490926,shipped
663,490927,shipped
664,490928,shipped
665,490930,shipped
666,490932,shipped
667,490933,shipped
668,490936,shipped
669,490937,canceled
670,490938,shipped
671,490940,canceled
672,490941,shipped
673,490944,shipped
674,490945,shipped
675,490948,shipped
676,490953,nan
677,490954,shipped
678,490956,shipped
679,490957,returned
680,490958,canceled
681,490959,shipped
682,490961,shipped
683,490962,shipped
684,490964,shipped
685,490966,shipped
686,490968,shipped
687,490971,shipped
688,490972,shipped
689,490978,shipped
690,490981,shipped
691,490982,shipped
692,490984,shipped
693,490989,returned
694,490990,shipped
695,490992,shipped
696,490998,shipped
697,490999,shipped
698,491006,canceled
699,491007,shipped
700,491008,shipped
701,491009,shipped
702,491010,shipped
703,491011,shipped
704,491014,shipped
705,491024,shipped
706,491025,shipped
707,491026,shipped
708,491033,shipped
709,491034,shipped
710,491035,shipped
711,491038,shipped
712,491039,shipped
713,491044,shipped
714,491045,shipped
715,491048,canceled
716,491049,shipped
717,491050,shipped
718,491051,shipped
719,491054,shipped
720,491055,shipped
721,491056,shipped
722,491057,returned
723,491058,shipped
724,491059,shipped
725,491060,shipped
726,491061,shipped
727,491062,shipped
728,491063,shipped
729,491064,shipped
730,491067,
731,491068,shipped
732,491069,shipped
733,491070,shipped
734,491071,shipped
735,491072,shipped
736,491073,shipped
737,491074,
738,491075,shipped
739,491077,shipped
740,491078,shipped
741,491079,nan
742,491081,shipped
743,491082,shipped
744,491083,
745,491085,shipped
746,491086,shipped
747,491089,canceled
748,491090,shipped
749,491091,shipped
750,491092,shipped
751,491093,shipped
752,491094,shipped
753,491095,returned
754,491096,returned
755,491097,shipped
756,491098,canceled
757,491100,shipped
758,491101,shipped
759,491102,shipped
760,491103,shipped
761,491104,shipped
762,491105,NULL
763,491109,shipped
764,491111,shipped
765,491112,shipped
766,491113,shipped
767,491116,shipped
768,491118,shipped
769,491122,shipped
770,491123,shipped
771,491124,shipped
772,491125,shipped
773,491126,shipped
774,491127,shipped
775,491129,shipped
776,491131,shipped
777,491132,shipped
778,491133,shipped
779,491136,shipped
780,491138,shipped
781,491143,shipped
782,491144,nan
783,491145,shipped
784,491146,nan
785,491147,shipped
786,491148,shipped
787,491149,canceled
788,491150,shipped
789,491151,shipped
790,491152,shipped
791,491153,shipped
792,491154,shipped
793,491158,shipped
794,491159,shipped
795,491160,shipped
796,491161,shipped
797,491163,shipped
798,491164,shipped
799,491165,shipped
800,491169,canceled
801,491170,canceled
802,491171,shipped
803,491172,shipped
804,491173,returned
805,491174,shipped
806,491175,returned
807,491176,shipped
808,491177,shipped
809,491178,shipped
810,491180,shipped
811,491181,shipped
812,491182,shipped
813,491183,returned
814,491184,shipped
815,491185,shipped
816,491186,shipped
817,491187,shipped
818,491188,shipped
819,491189,shipped
820,491191,shipped
821,491192,shipped
822,491193,shipped
823,491194,shipped
824,491195,shipped
825,491196,shipped
826,491197,shipped
827,491198,shipped
828,491199,shipped
829,491200,shipped
830,491201,shipped
831,491203,shipped
832,491204,shipped
833,491205,shipped
834,491207,shipped
835,491209,shipped
836,491210,canceled
837,491211,shipped
838,491212,shipped
839,491226,shipped
840,491235,shipped
841,491238,shipped
842,491240,shipped
843,491247,shipped
844,491314,shipped
845,491317,shipped
846,491318,shipped
847,491319,shipped
848,491320,shipped
849,491321,shipped
850,491340,shipped
851,491356,canceled
852,491358,shipped
853,491368,shipped
854,491385,shipped
855,491394,shipped
856,491395,nan
857,491396,
858,491397,shipped
859,491399,shipped
860,491400,shipped
861,491401,shipped
862,491403,shipped
863,491405,shipped
864,491406,shipped
865,491407,shipped
866,491408,shipped
867,491421,shipped
868,491422,returned
869,491424,shipped
870,491425,nan
871,491426,shipped
872,491427,shipped
873,491429,shipped
874,491431,shipped
875,491432,shipped
876,491433,shipped
877,491434,shipped
878,491435,shipped
879,491436,shipped
880,491437,shipped
881,491438,shipped
882,491439,shipped
883,491440,shipped
884,491442,shipped
885,491443,shipped
886,491444,shipped
887,491445,shipped
888,491447,shipped
889,491448,shipped
890,491449,shipped
891,491450,shipped
892,491452,shipped
893,491453,shipped
894,491454,shipped
895,491456,nan
896,491457,shipped
897,491462,shipped
898,491463,shipped
899,491464,canceled
900,491465,shipped
901,491468,shipped
902,491474,returned
903,491479,shipped
904,491497,
905,491498,shipped
906,491506,shipped
907,491508,nan
908,491516,shipped
909,491528,shipped
910,491554,shipped
911,491555,shipped
912,491570,shipped
913,491584,shipped
914,491586,nan
915,491587,canceled
916,491603,shipped
917,491607,shipped
918,491612,shipped
919,491613,shipped
920,491622,shipped
921,491625,shipped
922,491627,shipped
923,491629,shipped
924,491630,shipped
925,491631,shipped
926,491633,shipped
927,491634,canceled
928,491635,shipped
929,491636,shipped
930,491637,shipped
931,491640,shipped
932,491642,shipped
933,491643,shipped
934,491644,shipped
935,491645,shipped
936,491646,NULL
937,491647,shipped
938,491648,shipped
939,491649,shipped
940,491651,shipped
941,491652,shipped
942,491653,shipped
943,491654,shipped
944,491655,shipped
945,491656,shipped
946,491658,shipped
947,491659,shipped
948,491660,shipped
949,491661,shipped
950,491662,shipped
951,491663,shipped
952,491664,shipped
953,491665,shipped
954,491666,shipped
955,491667,shipped
956,491668,shipped
957,491669,shipped
958,491670,shipped
959,491671,shipped
960,491672,shipped
961,491673,nan
962,491674,shipped
963,491675,shipped
964,491677,returned
965,491678,shipped
966,491679,shipped
967,491680,shipped
968,491681,shipped
969,491682,returned
970,491683,shipped
971,491684,shipped
972,491685,returned
973,491686,shipped
974,491687,canceled
975,491688,shipped
976,491690,shipped
977,491691,shipped
978,491692,shipped
979,491694,shipped
980,491695,shipped
981,491696,shipped
982,491697,shipped
983,491698,canceled
984,491699,shipped
985,491700,shipped
986,491701,shipped
987,491703,shipped
988,491704,shipped
989,491706,canceled
990,491707,
991,491708,shipped
992,491709,shipped
993,491710,shipped
994,491711,shipped
995,491712,shipped
996,491713,nan
997,491714,shipped
998,491715,shipped
999,491716,shipped
1000,491717,shipped
1001,491718,shipped
1002,491719,canceled
1003,491720,shipped
1004,491721,shipped
1005,491722,shipped
1006,491724,shipped
1007,491725,shipped
1008,491726,shipped
1009,491729,shipped
1010,491730,shipped
1011,491731,shipped
1012,491733,shipped
1013,491734,shipped
1014,491735,shipped
1015,491736,shipped
1016,491737,shipped
1017,491738,shipped
1018,491742,shipped
1019,491743,shipped
1020,491744,shipped
1021,491745,shipped
1022,491746,shipped
1023,491747,shipped
1024,491748,shipped
1025,491750,shipped
1026,491751,shipped
1027,491752,canceled
1028,491753,shipped
1029,491754,shipped
1030,491755,
1031,491756,shipped
1032,491757,shipped
1033,491758,shipped
1034,491759,shipped
1035,491760,canceled
1036,491780,shipped
1037,491782,shipped
1038,491784,shipped
1039,491800,shipped
1040,491803,shipped
1041,491804,shipped
1042,491805,shipped
1043,491806,shipped
1044,491807,
1045,491809,
1046,491810,shipped
1047,491811,nan
1048,491812,shipped
1049,491813,returned
1050,491814,shipped
1051,491815,shipped
1052,491816,
1053,491825,shipped
1054,491826,shipped
1055,491828,canceled
1056,491829,shipped
1057,491831,shipped
1058,491832,shipped
1059,491833,shipped
1060,491834,shipped
1061,491840,shipped
1062,491861,shipped
1063,491868,shipped
1064,491888,shipped
1065,491893,shipped
1066,491894,shipped
1067,491923,shipped
1068,491924,shipped
1069,491935,canceled
1070,491941,shipped
1071,491949,shipped
1072,491950,returned
1073,491951,shipped
1074,491953,shipped
1075,491954,canceled
1076,491955,shipped
1077,491956,shipped
1078,491957,shipped
1079,491958,shipped
1080,491959,canceled
1081,491960,shipped
1082,491961,canceled
1083,491963,shipped
1084,491964,shipped
1085,491965,shipped
1086,491967,shipped
1087,491979,shipped
1088,491980,shipped
1089,491981,shipped
1090,491982,shipped
1091,491983,shipped
1092,491984,NULL
1093,491986,shipped
1094,491987,shipped
1095,491988,shipped
1096,491991,shipped
1097,491992,shipped
1098,491993,shipped
1099,491994,
1100,491995,shipped
1101,491996,shipped
1102,491997,shipped
1103,491998,shipped
1104,491999,shipped
1105,492003,returned
1106,492004,shipped
1107,492005,canceled
1108,492007,shipped
1109,492008,shipped
1110,492009,canceled
1111,492011,shipped
1112,492012,shipped
1113,492014,shipped
1114,492015,shipped
1115,492016,shipped
1116,492017,shipped
1117,492018,shipped
1118,492020,shipped
1119,492021,shipped
1120,492022,shipped
1121,492035,shipped
1122,492039,shipped
1123,492051,nan
1124,492064,shipped
1125,492071,shipped
1126,492073,returned
1127,492074,shipped
1128,492075,shipped
1129,492076,shipped
1130,492077,shipped
1131,492078,shipped
1132,492079,shipped
1133,492080,shipped
1134,492092,shipped
1135,492098,shipped
1136,492117,shipped
1137,492125,nan
1138,492127,shipped
1139,492133,shipped
1140,492153,shipped
1141,492168,shipped
1142,492169,shipped
1143,492170,shipped
1144,492172,shipped
1145,492173,shipped
1146,492174,shipped
1147,492175,shipped
1148,492176,shipped
1149,492177,shipped
1150,492178,shipped
1151,492179,shipped
1152,492181,shipped
1153,492185,returned
1154,492202,shipped
1155,492203,shipped
1156,492204,shipped
1157,492208,shipped
1158,492209,shipped
1159,492210,shipped
1160,492214,shipped
1161,492216,shipped
1162,492218,shipped
1163,492220,shipped
1164,492221,shipped
1165,492222,shipped
1166,492223,shipped
1167,492224,shipped
1168,492225,shipped
1169,492227,shipped
1170,492228,shipped
1171,492229,shipped
1172,492230,shipped
1173,492231,shipped
1174,492232,shipped
1175,492233,shipped
1176,492234,shipped
1177,492235,shipped
1178,492236,shipped
1179,492237,shipped
1180,492238,canceled
1181,492239,shipped
1182,492240,shipped
1183,492241,shipped
1184,492242,shipped
1185,492244,returned
1186,492245,shipped
1187,492246,canceled
1188,492247,returned
1189,492248,shipped
1190,492249,shipped
1191,492250,returned
1192,492251,shipped
1193,492252,canceled
1194,492253,shipped
1195,492269,shipped
1196,492270,shipped
1197,492271,shipped
1198,492272,shipped
1199,492273,shipped
1200,492281,shipped
1201,492282,shipped
1202,492283,shipped
1203,492285,
1204,492287,shipped
1205,492290,shipped
1206,492296,shipped
1207,492297,shipped
1208,492300,nan
1209,492302,shipped
1210,492304,nan
1211,492312,shipped
1212,492313,shipped
1213,492314,shipped
1214,492317,shipped
1215,492318,shipped
1216,492319,shipped
1217,492321,shipped
1218,492322,nan
1219,492325,returned
1220,492328,shipped
1221,492340,shipped
1222,492342,shipped
1223,492347,shipped
1224,492348,shipped
1225,492349,shipped
1226,492351,shipped
1227,492356,shipped
1228,492357,returned
1229,492358,shipped
1230,492359,shipped
1231,492360,shipped
1232,492361,shipped
1233,492362,shipped
1234,492367,nan
1235,492368,shipped
1236,492369,shipped
1237,492370,canceled
1238,492371,shipped
1239,492372,shipped
1240,492374,shipped
1241,492375,shipped
1242,492376,shipped
1243,492378,shipped
1244,492379,returned
1245,492380,canceled
1246,492383,shipped
1247,492387,shipped
1248,492391,shipped
1249,492395,shipped
1250,492397,shipped
1251,492398,shipped
1252,492399,returned
1253,492401,shipped
1254,492403,shipped
1255,492404,shipped
1256,492405,canceled
1257,492406,shipped
1258,492407,shipped
1259,492408,shipped
1260,492409,shipped
1261,492410,shipped
1262,492412,shipped
1263,492413,shipped
1264,492415,shipped
1265,492417,shipped
1266,492418,shipped
1267,492419,shipped
1268,492421,shipped
1269,492423,shipped
1270,492424,canceled
1271,492426,shipped
1272,492427,shipped
1273,492428,shipped
1274,492429,shipped
1275,492430,shipped
1276,492431,shipped
1277,492432,shipped
1278,492433,shipped
1279,492434,shipped
1280,492435,shipped
1281,492436,shipped
1282,492437,shipped
1283,492438,shipped
1284,492439,shipped
1285,492440,shipped
1286,492441,shipped
1287,492442,shipped
1288,492443,shipped
1289,492444,shipped
1290,492445,shipped
1291,492446,nan
1292,492448,returned
1293,492449,shipped
1294,492462,shipped
1295,492465,shipped
1296,492472,shipped
1297,492484,shipped
1298,492499,shipped
1299,492500,shipped
1300,492512,shipped
1301,492516,shipped
1302,492517,shipped
1303,492518,shipped
1304,492519,
1305,492520,shipped
1306,492521,shipped
1307,492522,shipped
1308,492524,shipped
1309,492525,shipped
1310,492526,shipped
1311,492527,shipped
1312,492528,shipped
1313,492529,shipped
1314,492530,shipped
1315,492534,shipped
1316,492535,returned
1317,492536,shipped
1318,492537,shipped
1319,492538,shipped
1320,492539,shipped
1321,492540,shipped
1322,492542,returned
1323,492544,canceled
1324,492545,shipped
1325,492546,shipped
1326,492547,shipped
1327,492549,nan
1328,492571,shipped
1329,492578,shipped
1330,492579,shipped
1331,492580,shipped
1332,492581,shipped
1333,492582,shipped
1334,492583,shipped
1335,492585,shipped
1336,492588,shipped
1337,492589,shipped
1338,492591,shipped
1339,492592,shipped
1340,492593,shipped
1341,492594,shipped
1342,492635,shipped
1343,492640,shipped
1344,492641,shipped
1345,492643,shipped
1346,492644,returned
1347,492650,shipped
1348,492652,nan
1349,492659,shipped
1350,492680,shipped
1351,492684,shipped
1352,492687,shipped
1353,492705,shipped
1354,492707,shipped
1355,492708,shipped
1356,492710,shipped
1357,492711,shipped
1358,492713,shipped
1359,492714,shipped
1360,492716,shipped
1361,492717,shipped
1362,492718,returned
1363,492720,shipped
1364,492722,shipped
1365,492723,returned
1366,492724,shipped
1367,492726,shipped
1368,492727,shipped
1369,492728,returned
1370,492729,nan
1371,492730,nan
1372,492731,shipped
1373,492732,shipped
1374,492733,shipped
1375,492734,shipped
1376,492735,nan
1377,492736,shipped
1378,492737,shipped
1379,492738,shipped
1380,492740,shipped
1381,492741,shipped
1382,492742,shipped
1383,492743,shipped
1384,492744,returned
1385,492745,shipped
1386,492747,shipped
1387,492749,shipped
1388,492750,shipped
1389,492751,shipped
1390,492752,canceled
1391,492753,shipped
1392,492760,shipped
1393,492761,shipped
1394,492762,shipped
1395,492763,shipped
1396,492764,returned
1397,492765,nan
1398,492766,shipped
1399,492767,
1400,492768,canceled
1401,492769,shipped
1402,492770,shipped
1403,492771,shipped
1404,492772,shipped
1405,492773,shipped
1406,492774,nan
1407,492775,shipped
1408,492776,shipped
1409,492777,shipped
1410,492778,shipped
1411,492779,shipped
1412,492780,shipped
1413,492781,shipped
1414,492784,returned
1415,492785,shipped
1416,492792,canceled
1417,492793,
1418,492794,
1419,492795,shipped
1420,492796,shipped
1421,492797,shipped
1422,492798,shipped
1423,492799,shipped
1424,492800,shipped
1425,492801,shipped
1426,492803,
1427,492804,shipped
1428,492805,shipped
1429,492806,shipped
1430,492807,shipped
1431,492808,shipped
1432,492809,shipped
1433,492810,canceled
1434,492811,shipped
1435,492812,returned
1436,492813,shipped
1437,492814,shipped
1438,492815,shipped
1439,492816,shipped
1440,492817,nan
1441,492818,shipped
1442,492819,returned
1443,492820,returned
1444,492822,returned
1445,492823,shipped
1446,492824,canceled
1447,492830,shipped
1448,492832,shipped
1449,492834,shipped
1450,492836,shipped
1451,492837,shipped
1452,492839,shipped
1453,492840,shipped
1454,492841,shipped
1455,492842,shipped
1456,492843,shipped
1457,492869,canceled
1458,492875,shipped
1459,492878,shipped
1460,492891,shipped
1461,492929,shipped
1462,492935,canceled
1463,492940,nan
1464,492942,shipped
1465,492943,shipped
1466,492944,shipped
1467,492945,shipped
1468,492948,shipped
1469,492949,shipped
1470,492950,shipped
1471,492951,shipped
1472,492953,shipped
1473,492954,shipped
1474,492975,shipped
1475,492993,shipped
1476,493050,shipped
1477,493052,shipped
1478,493053,shipped
1479,493069,shipped
1480,493071,shipped
1481,493076,shipped
1482,493077,shipped
1483,493139,returned
1484,493157,shipped
1485,493181,returned
1486,493183,shipped
1487,493187,returned
1488,493188,returned
1489,493189,shipped
1490,493200,shipped
1491,493257,shipped
1492,493258,shipped
1493,493266,shipped
1494,493300,shipped
1495,493301,
1496,493302,shipped
1497,493303,NULL
1498,493304,shipped
1499,493308,shipped
1500,493325,NULL
1501,493326,shipped
1502,493360,shipped
1503,493371,shipped
1504,493372,shipped
1505,493375,shipped
1506,493376,shipped
1507,493393,shipped
1508,493395,shipped
1509,493398,shipped
1510,493399,shipped
1511,493407,shipped
1512,493409,shipped
1513,493410,nan
1514,493412,shipped
1515,493414,shipped
1516,493427,shipped
